site,evc
MIXBUT,122.00000000000001
MIXBUT,102
MIXBUT,102
MIXBUT,103
MIXBUT,105
MIXBUT,106
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,114.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103
MIXBUT,114.99999999999999
MIXBUT,114.99999999999999
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,102
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,122.00000000000001
MIXBUT,114.99999999999999
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,103.99999999999999
MIXBUT,102
MIXBUT,103
MIXBUT,105
MIXBUT,106
MIXBUT,106
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,122.00000000000001
MIXBUT,102
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,106
MIXBUT,106
MIXBUT,105
MIXBUT,105
MIXBUT,114.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,114.99999999999999
MIXBUT,103
MIXBUT,103
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,114.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,106
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,114.99999999999999
MIXBUT,114.99999999999999
MIXBUT,103.99999999999999
MIXBUT,114.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,106
MIXBUT,114.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,103.99999999999999
